SUSPENDED STUDENTS 2023-2024,,,BASEBALL-JV,,,,,BASEBALL-V,,,,,BASKETBALL-JV BOYS,,,,,BASKETBALL-V BOYS,,,,,BASKETBALL-JV GIRLS,,,,,BASKETBALL-V GIRLS,,,,,FIELD HOCKEY-JV,,,,,FIELD HOCKEY-V,,,,,FOOTBALL-JV,,,,,FOOTBALL-V,,,,,GOLF-FALL,,,,,GOLF-SPRING,,,,,GYMNASTICS,,,,,Ice Hockey-JV BOYS,,,,,Ice Hockey-V BOYS,,,,,Ice Hockey-JV GIRLS,,,,,Ice Hockey-V GIRLS,,,,,INDOOR TRACK,,,,,LACROSSE-JV BOYS,,,,,LACROSSE-V BOYS,,,,,LACROSSE-JV GIRLS,,,,,LACROSSE-V GIRLS,,,,,RUGBY BOYS,,,,,RUGBY GIRLS,,,,,SOCCER-JV BOYS,,,,,SOCCER-V BOYS,,,,,SOCCER-JV GIRLS,,,,,SOCCER-V GIRLS,,,,,SOFTBALL-JV,,,,,SOFTBALL-V,,,,,SKI,,,,,SWIMMING-GIRLS,,,,,SWIMMING-BOYS,,,,,TENNIS-BOYS,,,,,TENNIS-GIRLS,,,,,TRACK & FIELD-BOYS,,,,,TRACK & FIELD-GIRLS,,,,,VOLLEYBALL-JV BOYS,,,,,VOLLEYBALL-V BOYS,,,,,VOLLEYBALL-JV GIRLS,,,,,VOLLEYBALL-V GIRLS,,,,,WRESTLING,,,,,X COUNTRY,,,,,TOTALS,,,,,TOTAL,
SCHOOL,MailCITY,District,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2   Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 yr,Coach,1 Game,2 Game,Tour,1 YR,COACH,SUSPENSIONS,
Attleboro High School,Attleboro,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,2,
Auburn High School,Auburn,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Austin Preparatory School,Reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Avon Mid/High School,Avon,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Ayer Shirley Regional High School,Ayer,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,3,
Barnstable High School,Hyannis,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,3,
Bartlett Jr./Sr. H.S.,Webster,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Bay Path RVT High School,Charlton,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,
Baystate Academy Charter Public,Springfield,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
Bedford High School,Bedford,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
